annee,boite,carburant,departement,kilometrage,prix,titre,ville
2018,Automatique,Diesel,95880,72600,26490,MERCEDES CLA CLASSE SHOOTING BRAKE 200 FASCINATION,Enghien-les-Bains
2020,Automatique,Diesel,79180,20117,43900,MERCEDES CLA CLASSE SHOOTING BRAKE 220 D 190CH AMG LINE 8G-DCT,Chauray
2020,Automatique,Essence,69007,12736,46190,MERCEDES GLA 200 AMG LINE ÉDITION ONE 1 - TOIT OUVRANT,Lyon
2015,Automatique,Diesel,81990,124600,19980,"MERCEDES CLASSE C220 SW ""AVANTGARDE"" 170CH 7G-TRONIC - ATTELAGE - ENTRETIEN 100% MERCEDES - GARANTIE",Puygouzon
2018,Automatique,Diesel,95350,270000,17000,MERCEDES-BENZ CLA 220D PACK AMG FULL,Piscop
2019,Automatique,Diesel,38000,41000,31490,MERCEDES CLA 180 D AMG LINE 7G-DCT,Grenoble
2019,Automatique,Essence,6200,35500,38000,MERCEDES CLA 200 AMG EDITION ONE,Nice
2017,Automatique,Diesel,91250,45000,26990,MERCEDES CLASSE CLA 200 D 7-G DCT FASCINATION,Saint-Germain-lès-Corbeil
2018,Automatique,Diesel,33520,130000,22990,MERCEDES-BENZ CLASSE CLA COUPÉ PHASE 2   200 CDI 2.1 CDI 16V   7G-DCT   136 CV   BOÎTE AUTO’,Bruges
2017,Automatique,Diesel,94160,137500,22990,MERCEDES CLASSE CLA 220 CDI 2.1 7G-DCT 177 FASCINATION AMG,Saint-Mandé
2014,Manuelle,Diesel,62200,88000,19999,MERCEDES CLA 200 CDI FASCINATION PACK AMG TOIT OUVRANT PANORAMIQUE,Boulogne-sur-Mer
2017,Manuelle,Diesel,60740,45000,19490,MERCEDES CLASSE CLA 180 D SENSATION,Saint-Maximin
2018,Manuelle,Essence,44840,34000,24490,MERCEDES CLASSE CLA SHOOTING BRAKE 200 FASCINATION,Les Sorinières
2018,Automatique,Diesel,49610,143000,22490,MERCEDES CLA CLASSE 220 SHOOTING BREAK AMG 2.1 177 CH - GARANTIE 6 MOIS,Les Garennes sur Loire
2015,Automatique,Diesel,59890,83783,26990,MERCEDES CLASSE CLA 220 CDI 177 CH BVA GPS FASCINATION 83.783KM,Quesnoy-sur-Deûle
2017,Automatique,Diesel,85400,100000,22500,MERCEDES CLA 200 SHOOTING BREAK,Lairoux
2014,Manuelle,Diesel,33000,97000,12990,AUDI A3 110CH 97 000KM 2015 PEINTURE NEUVE GPS XÉNON… REPRISE POSSIBLE,Bordeaux
1986,Manuelle,Essence,33000,116000,4990,RENAULT 4L 1986 JANTES ALPINE CT OK URGENT,Bordeaux
2016,Automatique,Diesel,73460,60000,23990,CLASSE B 220D 177 FASCINATION 4MATIC 7G-DCT AMG LINE 04/2016 TOIT PANO SEMI CUIR CAMERA,Frontenex
2016,Automatique,Diesel,73460,60000,23990,CLASSE B 220D 177 FASCINATION 4MATIC 7G-DCT AMG LINE 04/2016 TOIT PANO SEMI CUIR CAMERA,Frontenex
2015,Automatique,Essence,89100,59000,32890,MERCEDES CLA CLASSE SHOOTING BRAKE 45 AMG 4MATIC,Sens
